temperature, height above bedrock
-25.89928526,629.5775538
-25.80586273,619.1066547
-25.73538399,608.6951393
-25.63093239,598.582617
-25.53289469,587.7676583
-25.43756071,578.8237348
-25.33541509,568.1597571
-25.23935003,559.2641134
-25.12842496,549.1371519
-25.0481732,539.5051905
-24.92897755,528.7160596
-24.78640814,517.3835268
-24.66237187,508.0955843
-24.52544824,497.5538315
-24.37563563,488.265889
-24.24478933,477.6019114
-24.08135827,467.2819527
-23.8906887,455.9299779
-23.72725764,446.6420354
-23.5730553,436.2112406
-23.38181407,426.2096358
-23.22761335,416.5037294
-23.02428024,406.4169129
-22.85403915,396.4409732
-22.68087212,385.7400231
-22.49020254,376.7960996
-22.27083069,365.1001058
-22.09085362,355.4681443
-21.8865656,344.8042074
-21.67546594,335.5162649
-21.48479637,324.1642901
-21.26294623,315.3057002
-21.08296916,303.351021
-20.87181153,294.392699
-20.70128541,284.5132782
-20.46778785,274.3894892
-20.28392831,264.0695712
-20.09860499,254.0935909
-19.86452933,243.5114896
-19.67137987,232.2817802
-19.4807103,221.9617808
-19.26859614,212.7221588
-19.07690885,202.3026714
-18.84825029,192.6934059
-18.62713124,181.9668313
-18.43595281,171.5729684
-18.23694985,162.3333464
-18.03361675,151.8655385
-17.8307297,141.5311406
-17.63465107,132.5615926
-17.4274355,120.2999076
-17.22995751,111.6999218
-17.02757932,100.9733472
-16.75952597,90.69849573
-16.54110903,80.53785632
-16.35623499,70.11836888
-16.19961235,62.89437748
-15.15449415,13.90214048
